model,MAE,WAPE,rank,sku
Fourier + Ridge,46.1421875112301,5.311330936544471,1,MI-026
Fourier + ARMA (DHR),62.84802171561601,7.234304657912634,2,MI-026
SARIMAX estacional,75.25637737202469,8.662604589585575,3,MI-026
Seasonal Naive,100.33333333333331,11.549160671462827,4,MI-026
Fourier + Ridge,120.60040015892588,11.099898772105464,1,RE-004
Seasonal Naive,121.91666666666669,11.221046172725876,2,RE-004
SARIMAX estacional,127.30010682206574,11.71653077055368,3,RE-004
Fourier + ARMA (DHR),127.69534442163246,11.752907908111592,4,RE-004
Seasonal Naive,80.16666666666667,7.213016420484367,1,RE-007
SARIMAX estacional,80.96884699691097,7.285192801701519,2,RE-007
Fourier + Ridge,81.07933357155098,7.29513385962819,3,RE-007
Fourier + ARMA (DHR),97.14617403861796,8.740751956687527,4,RE-007
SARIMAX estacional,90.59457642144524,8.513861046733048,1,RE-015
Fourier + Ridge,95.55165033688938,8.979714966267307,2,RE-015
Seasonal Naive,97.83333333333331,9.194142062808364,3,RE-015
Fourier + ARMA (DHR),105.7660777051446,9.939642356188704,4,RE-015
Fourier + Ridge,30.244763162199437,4.347073397369663,1,YO-001
Fourier + ARMA (DHR),77.04892533401737,11.074225703775404,2,YO-001
Seasonal Naive,82.5,11.857707509881424,3,YO-001
SARIMAX estacional,124.2234418729488,17.85460896485071,4,YO-001
Fourier + Ridge,98.7960442227702,11.461258030483782,1,YO-005
Fourier + ARMA (DHR),104.1395762473552,12.081157337280183,2,YO-005
Seasonal Naive,109.08333333333331,12.654679040989944,3,YO-005
SARIMAX estacional,125.0348605184916,14.505204236483946,4,YO-005
Seasonal Naive,99.41666666666669,11.372735938989514,1,YO-009
Fourier + Ridge,115.08891804368857,13.165557831499168,2,YO-009
Fourier + ARMA (DHR),125.09864923854934,14.310617644066651,3,YO-009
SARIMAX estacional,142.80661384167502,16.336314262155387,4,YO-009
Fourier + Ridge,66.98616836120378,7.747051082637292,1,YO-012
Fourier + ARMA (DHR),68.36885728836343,7.906961135893996,2,YO-012
SARIMAX estacional,87.19172051762926,10.083853567960206,3,YO-012
Seasonal Naive,113.75,13.155358519660757,4,YO-012
Fourier + Ridge,55.575350659012535,8.502093420552658,1,YO-014
Fourier + ARMA (DHR),72.09769601501931,11.029734219533808,2,YO-014
Seasonal Naive,73.25,11.20601733809281,3,YO-014
SARIMAX estacional,90.57019831105306,13.85571621280771,4,YO-014
Fourier + ARMA (DHR),69.82024469996581,8.146260927560425,1,YO-029
Fourier + Ridge,88.74186302388487,10.353936376146024,2,YO-029
Seasonal Naive,95.0,11.084103062712687,3,YO-029
SARIMAX estacional,101.65471728355033,11.8605406650715,4,YO-029
