sku,feature,standardized_coefficient
MI-026,cos_2,-3.5218442614238903
MI-026,price_unit,6.582857404008254
MI-026,is_holiday_week,6.941182223217119
MI-026,is_summer,-12.538771473627554
MI-026,is_winter,-15.921118968572436
MI-026,sin_2,-21.68003648006449
MI-026,promotion_flag,43.543594717999454
MI-026,cos_1,-76.72672130568488
MI-026,sin_1,95.571006017894
MI-026,t2,100.58870705865232
MI-026,t,-134.10801143814123
RE-004,cos_2,2.9749289250196185
RE-004,price_unit,4.000409975744357
RE-004,is_holiday_week,-10.262076921268138
RE-004,promotion_flag,30.792484468241963
RE-004,is_winter,33.316805958421526
RE-004,cos_1,-46.13904300953448
RE-004,is_summer,52.65845806864839
RE-004,sin_2,-53.72041062645625
RE-004,t2,55.53538204056542
RE-004,sin_1,-91.44260022710154
RE-004,t,-98.89232713535172
RE-007,is_holiday_week,-3.341924514923465
RE-007,is_summer,11.482257852848992
RE-007,is_winter,16.00741836672946
RE-007,price_unit,-16.96682778551189
RE-007,cos_2,-27.04945359370607
RE-007,sin_2,-34.90258168709849
RE-007,promotion_flag,45.02194005629118
RE-007,t2,61.248092226867165
RE-007,sin_1,-66.05944353101158
RE-007,cos_1,-76.17073170746104
RE-007,t,-100.81022989251176
RE-015,sin_2,-1.094096514407768
RE-015,price_unit,-1.1730407560768186
RE-015,is_summer,-2.1688648367273475
RE-015,t2,-5.279001728584657
RE-015,is_winter,13.101475802591857
RE-015,is_holiday_week,13.637587845792504
RE-015,cos_2,-15.128278857720488
RE-015,t,-36.476311471716535
RE-015,sin_1,-37.75125055359435
RE-015,promotion_flag,39.88956307119989
RE-015,cos_1,-78.85592002918305
YO-001,price_unit,2.036313368193245
YO-001,is_holiday_week,-4.792222060042984
YO-001,sin_2,-7.65568099275518
YO-001,cos_2,-36.51846978369125
YO-001,is_winter,-41.60674207112852
YO-001,promotion_flag,48.93528324204872
YO-001,sin_1,-62.77422380213211
YO-001,is_summer,68.14114751228821
YO-001,cos_1,164.79798042710382
YO-001,t2,306.1483110158822
YO-001,t,-428.5858237126942
YO-005,is_holiday_week,0.796187101553179
YO-005,price_unit,4.688094247207871
YO-005,is_summer,-5.839010517391438
YO-005,sin_2,6.505868786576942
YO-005,is_winter,-35.01052176361313
YO-005,promotion_flag,36.43232932051006
YO-005,cos_2,-70.38931908378981
YO-005,t2,103.85460690236636
YO-005,sin_1,128.53318587447808
YO-005,t,-143.55482597292126
YO-005,cos_1,210.1140274634806
YO-009,sin_2,3.2636850050640644
YO-009,price_unit,-4.704852149230892
YO-009,is_holiday_week,5.52073775152606
YO-009,is_winter,-8.937063136332847
YO-009,t2,-12.105355207565337
YO-009,cos_2,-12.81205881086712
YO-009,t,-16.652496114206244
YO-009,promotion_flag,44.49985079291024
YO-009,is_summer,53.69615589847844
YO-009,cos_1,-105.710995173924
YO-009,sin_1,-150.04304981819956
YO-012,t2,1.5312131062896106
YO-012,is_holiday_week,-8.732664377129066
YO-012,price_unit,11.733946945084451
YO-012,cos_2,-20.567878858971326
YO-012,sin_2,23.664914024215125
YO-012,promotion_flag,27.370136304320088
YO-012,t,-29.102890106466017
YO-012,is_winter,-30.21170651236723
YO-012,is_summer,32.80757541876564
YO-012,sin_1,58.373335759534775
YO-012,cos_1,210.67344150271649
YO-014,is_holiday_week,0.4359729770912923
YO-014,price_unit,3.5135738385895445
YO-014,sin_2,-18.39288488794741
YO-014,cos_2,-31.358453924433885
YO-014,promotion_flag,33.6099035321344
YO-014,is_winter,-37.05410280161826
YO-014,is_summer,62.85338822627101
YO-014,sin_1,-68.56777781216938
YO-014,cos_1,165.83886369647482
YO-014,t2,274.9551592182957
YO-014,t,-409.25939928264165
YO-029,price_unit,8.709522988834358
YO-029,is_holiday_week,-10.612202468093416
YO-029,sin_2,-11.511050513662598
YO-029,cos_2,-24.211453457171103
YO-029,is_winter,-26.71296613716559
YO-029,is_summer,28.912137990330148
YO-029,promotion_flag,41.518031322055336
YO-029,t2,106.14944021466428
YO-029,sin_1,148.59169892054172
YO-029,t,-154.48993672855184
YO-029,cos_1,188.8005109185793
