sku,winner,winner_WAPE,winner_MAE,n_weeks,seasonal_cycles,seasonal_sarimax_converged,dhr_converged
YO-001,Fourier + Ridge,4.347073397369663,30.244763162199437,138,2.6538461538461537,True,True
MI-026,Fourier + Ridge,5.311330936544471,46.1421875112301,149,2.8653846153846154,True,True
RE-007,Seasonal Naive,7.213016420484367,80.16666666666667,135,2.5961538461538463,True,True
YO-012,Fourier + Ridge,7.747051082637292,66.98616836120378,139,2.673076923076923,True,True
YO-029,Fourier + ARMA (DHR),8.146260927560425,69.82024469996581,143,2.75,True,True
YO-014,Fourier + Ridge,8.502093420552658,55.575350659012535,138,2.6538461538461537,True,True
RE-015,SARIMAX estacional,8.513861046733048,90.59457642144524,133,2.5576923076923075,True,True
RE-004,Fourier + Ridge,11.099898772105464,120.60040015892588,137,2.6346153846153846,True,True
YO-009,Seasonal Naive,11.372735938989514,99.41666666666669,122,2.3461538461538463,True,True
YO-005,Fourier + Ridge,11.461258030483782,98.7960442227702,142,2.730769230769231,True,True
