sku,fourier_k,ridge_alpha,dhr_order,sarimax_order,sarimax_seasonal_order,tuning_train_weeks,tuning_validation_weeks,outer_test_weeks_reserved
MI-026,2,1.0,"(1, 0, 0)","(1, 0, 0)","(0, 0, 1, 52)",133,4,12
RE-004,2,0.1,"(1, 0, 1)","(1, 0, 0)","(0, 0, 1, 52)",121,4,12
RE-007,2,0.1,"(1, 0, 0)","(1, 0, 0)","(0, 0, 1, 52)",119,4,12
RE-015,2,10.0,"(0, 0, 1)","(1, 0, 0)","(1, 0, 0, 52)",117,4,12
YO-001,2,0.1,"(0, 0, 1)","(1, 0, 0)","(0, 0, 1, 52)",122,4,12
YO-005,2,0.1,"(1, 0, 0)","(1, 0, 0)","(0, 0, 1, 52)",126,4,12
YO-009,2,10.0,"(1, 0, 0)","(1, 0, 0)","(0, 0, 1, 52)",106,4,12
YO-012,2,10.0,"(1, 0, 1)","(1, 0, 0)","(0, 0, 1, 52)",123,4,12
YO-014,2,0.1,"(1, 0, 0)","(1, 0, 0)","(0, 0, 1, 52)",122,4,12
YO-029,2,0.1,"(1, 0, 1)","(1, 0, 0)","(1, 0, 0, 52)",127,4,12
