sku,common_weeks,seasonal_cycles,admissible,total_revenue,total_units
YO-029,143,2.75,True,909515.7277619047,173238.0
YO-005,142,2.730769230769231,True,897843.5678809524,172131.0
YO-012,139,2.673076923076923,True,873428.0905952381,165720.0
MI-026,149,2.8653846153846154,True,781265.6826904762,149653.0
RE-004,137,2.6346153846153846,True,773954.4048809524,146675.0
YO-014,138,2.6538461538461537,True,763293.0718333332,144812.0
YO-001,138,2.6538461538461537,True,752976.8876428572,142143.0
RE-007,135,2.5961538461538463,True,750816.6895952381,143323.0
RE-015,133,2.5576923076923075,True,745039.0651666668,141280.0
YO-009,122,2.3461538461538463,True,735846.2562380952,141624.0
