sku,common_weeks,seasonal_cycles,admissible,total_revenue,total_units
MI-026,149,2.8653846153846154,True,781265.6826904762,149653.0
MI-006,149,2.8653846153846154,True,681085.1781190475,129927.0
YO-029,143,2.75,True,909515.7277619047,173238.0
YO-005,142,2.730769230769231,True,897843.5678809524,172131.0
YO-012,139,2.673076923076923,True,873428.0905952381,165720.0
YO-014,138,2.6538461538461537,True,763293.0718333332,144812.0
YO-001,138,2.6538461538461537,True,752976.8876428572,142143.0
RE-004,137,2.6346153846153846,True,773954.4048809524,146675.0
RE-007,135,2.5961538461538463,True,750816.6895952381,143323.0
RE-015,133,2.5576923076923075,True,745039.0651666668,141280.0
MI-023,130,2.5,True,677215.3550714285,130464.0
JU-021,125,2.4038461538461537,True,629033.232404762,119772.0
YO-009,122,2.3461538461538463,True,735846.2562380952,141624.0
SN-027,116,2.230769230769231,True,586046.0942857142,111930.0
YO-003,114,2.1923076923076925,True,704567.0147380952,134438.0
MI-022,113,2.173076923076923,True,512612.81857142854,98078.0
YO-016,109,2.0961538461538463,True,689983.7434047619,130419.0
RE-025,107,2.0576923076923075,True,625596.8331428572,118320.0
SN-010,104,2.0,True,626992.1384523809,118965.0
RE-017,104,2.0,True,597348.9780714286,112726.0
SN-013,99,1.9038461538461537,False,526564.677,100855.0
YO-020,98,1.8846153846153846,False,620682.543357143,118669.0
SN-019,94,1.8076923076923077,False,563060.4488333333,106811.0
MI-002,90,1.7307692307692308,False,485629.78366666666,93014.0
YO-024,86,1.6538461538461537,False,557563.7888809524,104667.0
MI-011,86,1.6538461538461537,False,422434.89259523805,81216.0
MI-008,86,1.6538461538461537,False,415810.8452857143,79750.0
SN-028,85,1.6346153846153846,False,513546.4303333333,98304.0
YO-018,81,1.5576923076923077,False,497920.9615,95457.0
SN-030,80,1.5384615384615385,False,479726.78933333326,91794.0
